Actinomycetota	rgba(178,34,34,1)	Actinomycetota
Bacteroidota	rgba(255,127,80,1)	Bacteroidota
Chlamydiota	rgba(250,128,114,1)	Chlamydiota
Alphaproteobacteria	rgba(255,165,0,1)	Alphaproteobacteria
Bacilli	rgba(238,232,170,1)	Bacilli
Betaproteobacteria	rgba(255,255,0,1)	Betaproteobacteria
Clostridia	rgba(124,252,0,1)	Clostridia
Gammaproteobacteria	rgba(0,128,0,1)	Gammaproteobacteria
Enterobacterales	rgba(144,238,144,1)	Enterobacterales
Pseudomonadales	rgba(0,255,127,1)	Pseudomonadales
Rickettsiales	rgba(32,178,170,1)	Rickettsiales
Borreliaceae	rgba(0,255,255,1)	Borreliaceae
Bordetella	rgba(64,224,208,1)	Bordetella
Escherichia	rgba(176,224,230,1)	Escherichia
Klebsiella	rgba(0,191,255,1)	Klebsiella
Salmonella	rgba(135,206,250,1)	Salmonella
Campylobacter jejuni	rgba(0,0,205,1)	Campylobacter jejuni
Clostridioides difficile	rgba(75,0,130,1)	Clostridioides difficile
Helicobacter pylori	rgba(147,112,219,1)	Helicobacter pylori
Mycobacterium tuberculosis	rgba(186,85,211,1)	Mycobacterium tuberculosis
Mycoplasmopsis bovis	rgba(238,130,238,1)	Mycoplasmopsis bovis
Staphylococcus aureus	rgba(219,112,147,1)	Staphylococcus aureus
Treponema pallidum	rgba(255,192,203,1)	Treponema pallidum
